description,category
restaurant refund late meeting,Food & Dining
apr flyer printing pos,Marketing
refund REDWOOD CO coffee,Food & Dining
RIVERSTONE SYSTEMS notebooks admin area,Office Supplies
Affiliate Network Refund Paid Invoice,Income
subscription warehouse owneer office rent,Rent
bank card for gas utility charge feb,Utilities
monitor stand admin area inv 425022,Office Supplies
card purchase for deposit received dec,Income
POS Solid Oak Solutions IT support,Professional Services
brightline payment utility order partners - - 63748,Utilities
business center rent payment due today,Rent
bank metro services electric bill card,Utilities
cobalt services - consulting fee - ref 951623,Professional Services
Sep Cleaning Supplies Card Purchaase,Office Supplies
online payment for monitorr stand dec,Office Supplies
Redwood Services - cleaning supplies - auth F32VD18,Office Supplies
INOICE MAY UTILITY PAYMENT FOR,Utilities
parking garage taxi ride client visit,Transportation
Brightline Services Refund Admin Area,Office Supplies
Lighthouse Co Pens And Pencils Jan Card Purchase,Office Supplies
mailchimp mobile pay launch promo,Marketing
stripe payout - product sale - order e78er,Income
customer paid commission earned from Silverline Group,Income
rental property - coworkin rent - auth CLF0XSZ,Rent
coffee late meeting ref i6qsr,Food & Dining
manual notebooks for jun entry,Office Supplies
silverline pay mobile solutions mar sub software,Software
pizza place office snacks for team meeting,Food & Dining
Nov Saas Renewal Recurring,Software
notion invoice team upgrade,Software
MOBILE IT PAY SUPPORT CONSULTANT HR,Professional Services
Toner Refill At Northstar Partners Sub,Office Supplies
cleaning supplies at furniture outlet ACH,Office Supplies
mobile fee pay parking garage parking,Transportation
jun printing subs flyer,Marketing
bank card for ink cartridges mar,Office Supplies
atlas partners - facility rent - batch 473087,Rent
quick run furniture from IKEA,Shopping
late phone plan sewer fee from utility included,Utilities
supply cabinet monitor stand from Atlas Partners,Office Supplies
SUBSCRIPTION SUPPORTT CONTRACT,Professional Services
WITH CLIENT FROM CATERING ODER DOORDASH,Food & Dining
coffee shop ACH for team meeting,Food & Dining
apr subscription retail purchase,Shopping
online payment Cobalt Services pens and pencils,Office Supplies
subscription for ads campaign may,Marketing
paid promotion monthly ad spend order 231844,Marketing
card nov subscription for software purchase,Software
online payment summit services design invoice,Professional Services
evergreen entry manual co transfer incoming,Income
downtown client commute from Shell,Transportation
rental car nov ride airport transfer desk,Transportation
bank card for checkout jan,Shopping
atlas svcs - store pickup - auth 667478,Shopping
harbor recurring apr generation lead systems,Marketing
product sale at BRIGHTLINE CO transfer,Income
onlinne payment Vercel productivity app,Software
April Payment Rent Payment From Studio Landlord,Rent
card purchase admin supply,Office Supplies
software subscription at Adobe manual entry,Software
RIVERSTONE LLC gas utility charge automatic debit,Utilities
invoice for advisory review,Professional Services
METRO STATION CLIENT COMMTUE AIRPORT TRIP,Transportation
eBay store pickup quick run,Shopping
facility rent at storage facility mobile pay,Rent
Metro Card Phone Purchase Plan Llc Apr,Utilities
supply cabinet monitor stand from printer supplier,Office Supplies
mobile pay for ads campaign feb,Marketing
Subs For Developer Tool Mar,Software
MICROSOFT 365 HOSTING CHARGE MAY POS,Software
studio landlord facility rent mo pmt,Rent
Ink At Cartridges Sbuscription Shop Stationery,Office Supplies
local - furniture inv TRTIDZS - store,Shopping
brightline solutions refund incoming transfer,Income
pos shell bus pass,Transportation
airport parking client commute sep ACH,Transportation
SOLID OAK HUB - office rent - ref 207230,Rent
TRANSFER INVOICE PORTAL COMMISSION EARNED,Income
card purchase COBALT CO gas utility chharge,Utilities
Client Dd5S Travel Business Commute Order,Transportation
Stples desk invoice front,Office Supplies
cloud bill at mirosoft 365 card purchase,Software
Brightline Services Mobile Pay Account Payment,Utilities
COBALT HUB SAAS RENEWAL MAR MANUAL ENTRY,Software
card purchsae admin supplies,Office Supplies
retail purchase at Northstar Market recurring,Shopping
cobalt bill group payment account water,Utilities
monthly plan team liecnse from cobalt hub,Software
TRANSFER FOR MISC SUPPLIES SEP,Shopping
Tax Preparation At Tax Preparer Transfer,Professional Services
Northstar Svc Office Chairs Staff Supplies,Office Supplies
grabbed for coffee client meeting,Food & Dining
SMALL EQUIPMENT STORE PICKUP FROM AMAZON,Shopping
transfer for monthly sapce,Rent
mobile pay for project milestone payment jan,Income
bank card Riverstone Hub checkout,Shopping
atlas up client co gas fill visit,Transportation
office pmt txn monthly 850191 lease,Rent
transfer from account customer,Income
monthly retainer income client payment ref ZNL4X,Income
payroll service at IT support invoice,Professional Services
DEESIGN INVOICE 915438 PROFESSIONAL FEE CARD,Professional Services
mar office lease subscription,Rent
subscription for paid promotion feb,Marketing
team lunch at Northstar Systems refund,Food & Dining
Service Eon9Szj2 Txn Metered Charge Usage,Utilities
summit hub flyer printing apr mobile pay,Marketing
online payment RIVERSTONE GROUP toll payment,Transportation
ach for jan commission earned,Income
refund walmart electronics,Shopping
mar deveeloper purchase card tool,Software
EVERGREEN HUB - COMPLIANCE REVIEW - CARD V22HRLWY,Professional Services
oct tax preparation refund,Professional Services
replacement parts at local store ACH,Shopping
Jun Monitor Stand Manual Entry,Office Supplies
bank card for subscription revenue jan,Income
utility payment at lighthouse systems subscription,Utilities
for office setup furniture from amazon,Shopping
Metered Usage Gas Utility Charge From Atlas Hub,Utilities
Metro Services Software Subscription Nov Invoice,Software
front desk desk accessories from cleaning supplier,Office Supplies
HR support transfer consultant IT sep,Professional Services
retainer client invoice settlement batch,Income
Redwood monitor stand Llc card - 78576 -,Office Supplies
rental ach rental space property,Rent
Local Store Store Pickup General Purchase,Shopping
harbor delivery event staff meal market,Food & Dining
Uber Eats recurring with client,Food & Dining
Metro Group - Invoice Payment Received - Order 592058,Income
desk accessories printer room auth 545640,Office Supplies
PROJECT MILESTOEN PAYMENT AT AFFILIATE NETWORK MANUAL ENTRY,Income
revenue deposit invoice payment received from marketplace payout,Income
trash service trash pickup automatic debit,Utilities
FURNITURE OUTLET ONLINE PAYMENT STAFF SUPPLIES,Office Supplies
may bulk order POS,Shopping
broadband bill account payment card 223232,Utilities
recurring Etsy bulk oredr,Shopping
toll payment at train station card purchase,Transportation
mobile service recurring sep internet carier,Utilities
mobile pay for ink cartridges sep,Office Supplies
toll authority parking fee jan subscription,Transportation
IKEA - store pcikup - txn 138579,Shopping
Office Rent At Northstar Systems Refund,Rent
cobalt systems pens and pencils apr pos,Office Supplies
REDWOOD SOLUTIONS - PENS AND PENCILS - BATCH 277457,Office Supplies
online for team pmt seats,Software
Airport Ride Airport Trip Ref Maxow,Transportation
fiber sep provider card purchase charge service,Utilities
intrenet BCUS2E - - auth provider pickup trash,Utilities
Service Period Utility Payment From Sewer Utility,Utilities
water utility water bill mar transfer,Utilities
AWS software CRM renewal seat,Software
Office Chairs Supply Cabinet Auth 632170,Office Supplies
taxi ride airport trip batch 963488,Transportation
Atlas Systems misc supplies quick run,Shopping
Office Depot cleaning supplies may card purchase,Office Supplies
online payment for ads campaign dec,Marketing
Nov Product Sale Recurring,Income
AWS mobile pay cloud usage,Software
suite management - facility rent - order 5dw1nn,Rent
BLUEBIRD CO DEPOSIT RECEIVED APR ACH,Income
Advisorr At Ach Fee Law Firm,Professional Services
Software Subscription Workspace Billing Batch 866583,Software
taxi ride business travel order 361721,Transportation
toll authority bus pass apr invoice,Transportation
taxi service - train ticket - ref 158851,Transportation
compliance review professional fee order 40187,Professional Services
Atlas Market client dinner after sales call,Food & Dining
monthly retainer income client paymt txn 3amw,Income
invoice SILVERLINE SOLUTIONS storage unit rent,Rent
stock up from Amazon electronics,Shopping
card purchase for train ticket jan,Transportation
saas at hub northtar inv renewal,Software
Lyft - taxi ride - ref PBBOU,Transportation
DURING TRAVEL DAY OFFICE SNACKS FROM REDWOOD CO,Food & Dining
Clearview Partners Transfer Monthly Plan,Software
service revenue customer paid order 706345,Income
google ads - flyer printing - txn 2zhpeau4,Marketing
office at solid lease mobile partners oak pay,Rent
office depot ink cartridges feb recurring,Office Supplies
Taxi Service Rental Car Downtown,Transportation
bank card tax oct preparation for,Professional Services
COBALT MARKET electronics invoice jun,Shopping
Etsy Card Up Purchse Stock,Shopping
mobile pay rental car desk parking fee,Transportation
pens and Depot Office at pencils trasfer,Office Supplies
mar misc subscription supplies,Shopping
local cafe team lunch during travel day,Food & Dining
parking garage parking fee jun refund,Transportation
Furniture Chairs Refund Dec Oulet Office,Office Supplies
SUMMIT CO CHECKOU FOR OFFICE SETUP,Shopping
Manual Entry Summit Market Crm Software,Software
monitor restock stand 65715 office inv,Office Supplies
printer room office chairs from equipment supplier,Office Supplies
Sep Client Commute Maunal Entry,Transportation
law firm consulting fee client project,Professional Services
POS Metro Systems commercial space,Rent
mo lease at coworking space recurring,Rent
ach for bulk order jun,Shopping
Consulting Income At Metro Solutions Recurring,Income
office furniture outlet restock from accessories desk,Office Supplies
compliance fee 724463 inv review professional,Professional Services
NORTHSTAR CO - content marketing - auth G0E7H4NE,Marketing
Northstar - Partners Card - Advisor 424815 Fee,Professional Services
Notion - developer tool - inv 355012,Software
online pmt for replacement parts,Shopping
mar product sale payment online,Income
Northstar Partners invoice for team meeting,Food & Dining
client earned mobile apr commission pay,Income
VERCEL - DEVELOPER TOOL - CARD 218708,Software
card purchase station kiok at,Transportation
monthly retainer payroll service from compliance advisor,Professional Services
workspace billing hosting charge from Zoom,Software
cobalt partners - utility payment - inv x1jm,Utilities
gas company manual entry account paymt,Utilities
Affiliate Transfer Manual Entry Network Incoming,Income
SUBSCRIPTION FOR PHONE PLAN MAR,Utilities
productiivity app at AWS recurring,Software
storage facility monthly lease monthly payment,Rent
card purchase for office chairs may,Office Supplies
team license at Slack mboile pay,Software
transfer for it support jun,Professional Services
jan order card online bank,Shopping
INV PAYMENT RECEIVED PAID INVOICE INV 8X8VFPA,Income
Gas Companyy Utility Payment Jun Bank Card,Utilities
dec monthly lease card purchase,Rent
may refund charge hosting,Software
mobile pay for design inv nov,Professional Services
Legal Consultation Project Invoice Inv Tyqq,Professional Services
recurring pickup trash oct for,Utilities
clearview office setup for purchase hub retail,Shopping
professional fee consultant business consulting fee from,Professional Services
invoice invoice portal invoice payment received,Income
Subscription For Client Commute Jan,Transportation
